FTTB-Account (WoWi): Accountname  ↑,Cluster  ↓,Ausbauzustand,Postleitzahl,Adresse,Private Wohneinheiten (U),Private Wohneinheiten (S),Private Wohneinheiten (O),Gewerbeeinheiten (U),Gewerbeeinheiten (O),Gewerbeeinheiten (S),FTTB-Opportunity (WoWi),Cluster Name,Bezirk,Quartier
J1 Immobilien Verwaltung,V_Polygon 91.2,,13353,Sprengelstraße 13,38,,38,1,0,,J1 Immobilien Verwaltung - V_Polygon 91.2 - 38 (A1) - verloren,V_Polygon 91.2,Mitte,Wedding
J1 Immobilien Verwaltung,Polygon 6.0,,14057,Witzlebenstraße 18,17,,11,1,0,,J1 Immobilien Verwaltung - V_Polygon 6.2 - 11 (A1) - WEG - verloren,Polygon 6.0,Charlottenburg-Wilmersdorf,Charlottenburg
J1 Immobilien Verwaltung,Cluster 83,ABZ III,10623,Kantstraße 25,35,40,43,5,,,J1 Immobilien Verwaltung - Cluster 83 - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
J1 Immobilien Verwaltung,Cluster 21,,10711,Storkwinkel 10,0,15,14,0,0,,J1 Immobilien Verwaltung - Cluster 21 - WEG - verloren,Cluster 21,Charlottenburg-Wilmersdorf,Halensee
Jarosch Immobilien UG,V_Polygon 80.1-2 (Ausdehnung),,10559,Lübecker Straße 12,14,16,10,1,0,,Siegfried Jarosch Immobilien - V_Polygon 80.1 - 10 (A1) - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
Jarosch Immobilien UG,V_Polygon 32.1 (Ausdehnung),,10247,Frankfurter Allee 55,14,,51,3,0,,Siegfried Jarosch Immobilien -  V_Polygon 32.2 - 51 (A1) - verloren,V_Polygon 32.1 (Ausdehnung),Friedrichshain-Kreuzberg,Friedrichshain
Jarosch Immobilien UG,V_Polygon 139.1-5 (Ausdehnung),,12053,Jonasstraße 68,6,,11,0,0,,Siegfried Jarosch Immobilien - V_Polygon 139.5 - 11 (A1) - verloren,V_Polygon 139.1-5 (Ausdehnung),Neukölln,Neukölln
Jens Hundt c/o RPS Immobilienmanagement GmbH & Co. KG,V_Polygon 91.2,,13353,Tegeler Straße 41,19,,19,1,0,,Consens Hausverwaltung und Gebäudeservice GmbH - V_Polygon 91.2 - 58 (A1) - verloren,V_Polygon 91.2,Mitte,Wedding
Jens Hundt c/o RPS Immobilienmanagement GmbH & Co. KG,V_Polygon 91.2,,13353,Torfstraße 10,39,,39,0,0,,Consens Hausverwaltung und Gebäudeservice GmbH - V_Polygon 91.2 - 58 (A1) - verloren,V_Polygon 91.2,Mitte,Wedding
Jens Hundt c/o RPS Immobilienmanagement GmbH & Co. KG,V_Polygon 80.1-2 (Ausdehnung),,10553,Erasmusstraße 5,35,42,39,1,0,,Consens Hausverwaltung und Gebäudeservice GmbH - V_Polygon 80.2 - 39 (A1) - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
Jens Hundt c/o RPS Immobilienmanagement GmbH & Co. KG,V_Polygon 79.1,,13347,Kunkelstraße 13,12,12,12,0,0,,Consens Hausverwaltung und Gebäudeservice GmbH - V_Polygon 79.1 - 41 (A1) - verloren,V_Polygon 79.1,Mitte,Gesundbrunnen
Jens Hundt c/o RPS Immobilienmanagement GmbH & Co. KG,V_Polygon 79.1,,13347,Ravenéstraße 10,11,14,11,0,0,,Consens Hausverwaltung und Gebäudeservice GmbH - V_Polygon 79.1 - 41 (A1) - verloren,V_Polygon 79.1,Mitte,Gesundbrunnen
Jens Hundt c/o RPS Immobilienmanagement GmbH & Co. KG,V_Polygon 79.1,,13357,Wiesenstraße 13,9,24,9,0,0,,Consens Hausverwaltung und Gebäudeservice GmbH - V_Polygon 79.1 - 41 (A1) - verloren,V_Polygon 79.1,Mitte,Gesundbrunnen
Jens Hundt c/o RPS Immobilienmanagement GmbH & Co. KG,V_Polygon 79.1,,13357,Wiesenstraße 12,9,24,9,0,0,,Consens Hausverwaltung und Gebäudeservice GmbH - V_Polygon 79.1 - 41 (A1) - verloren,V_Polygon 79.1,Mitte,Gesundbrunnen
Jens Hundt c/o RPS Immobilienmanagement GmbH & Co. KG,V_Polygon 76.1,,10435,Kremmener Straße 12,10,10,10,1,0,,Consens Hausverwaltung und Gebäudeservice GmbH - V_Polygon 76.1 - 44 (A1) - verloren,V_Polygon 76.1,Mitte,Mitte
Jens Hundt c/o RPS Immobilienmanagement GmbH & Co. KG,V_Polygon 70.2 (Vorvermarktung abgebrochen),,10407,Danziger Straße 124,30,,30,4,0,,Consens Hausverwaltung und Gebäudeservice GmbH - V_Polygon 70.2 - 30 (A1) - verloren,V_Polygon 70.2 (Vorvermarktung abgebrochen),Pankow,Prenzlauer Berg
Jens Hundt c/o RPS Immobilienmanagement GmbH & Co. KG,V_Polygon 32.1,,10247,Frankfurter Allee 54,11,,22,8,0,,Consens Hausverwaltung und Gebäudeservice GmbH - V_Polygon 32.1 - 22 - verloren,V_Polygon 32.1,Friedrichshain-Kreuzberg,Friedrichshain
Jens Hundt c/o RPS Immobilienmanagement GmbH & Co. KG,V_Polygon 139.3,,12043,Donaustraße 21,20,,17,0,0,,Consens Hausverwaltung und Gebäudeservice GmbH - V_Polygon 139.3 - 86 (A1) - verloren,V_Polygon 139.3,Neukölln,Neukölln
Jens Hundt c/o RPS Immobilienmanagement GmbH & Co. KG,V_Polygon 139.3,,12043,Donaustraße 20,13,,16,1,0,,Consens Hausverwaltung und Gebäudeservice GmbH - V_Polygon 139.3 - 86 (A1) - verloren,V_Polygon 139.3,Neukölln,Neukölln
Jens Hundt c/o RPS Immobilienmanagement GmbH & Co. KG,V_Polygon 139.3,,12043,Donaustraße 19,24,,18,0,0,,Consens Hausverwaltung und Gebäudeservice GmbH - V_Polygon 139.3 - 86 (A1) - verloren,V_Polygon 139.3,Neukölln,Neukölln
Jens Hundt c/o RPS Immobilienmanagement GmbH & Co. KG,V_Polygon 139.3,,12043,Donaustraße 18,12,,18,1,0,,Consens Hausverwaltung und Gebäudeservice GmbH - V_Polygon 139.3 - 86 (A1) - verloren,V_Polygon 139.3,Neukölln,Neukölln
Jens Hundt c/o RPS Immobilienmanagement GmbH & Co. KG,V_Polygon 139.3,,12043,Donaustraße 17,20,,17,0,0,,Consens Hausverwaltung und Gebäudeservice GmbH - V_Polygon 139.3 - 86 (A1) - verloren,V_Polygon 139.3,Neukölln,Neukölln
Jens Hundt c/o RPS Immobilienmanagement GmbH & Co. KG,Cluster 04,ABZ III,10629,Dahlmannstraße 27,15,,13,6,0,,Consens Hausverwaltung und Gebäudeservice GmbH - Cluster 04 - verloren,Cluster 04,Charlottenburg-Wilmersdorf,Charlottenburg
Jürgen Klug,Cluster 83,,10585,Zillestraße 17,11,1,1,0,1,1,Ernst Klug GmbH - Cluster 83 - B2B - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
K.U.S.S. Hausverwaltung,V_Polygon 2.4,ABZ III,10781,Starnberger Straße 3,11,14,14,2,1,1,K.U.S.S. Hausverwaltung GmbH - Cluster 02 - verloren,V_Polygon 2.4,Tempelhof-Schöneberg,Schöneberg
K.U.S.S. Hausverwaltung,V_Polygon 2.4,ABZ III,10781,Schwäbische Straße 5,14,14,14,3,2,2,K.U.S.S. Hausverwaltung GmbH - Cluster 02 - verloren,V_Polygon 2.4,Tempelhof-Schöneberg,Schöneberg
K2 Immobilienverwaltung,V_Polygon 80.2,,10555,Tile-Wardenberg-Straße 24,23,22,,2,,,K2 Immobilienverwaltung - V_Polygon 80.2 (A1) - verloren,V_Polygon 80.2,Mitte,Moabit
K2 Immobilienverwaltung,Cluster 83,ABZ III,10587,Galvanistraße 6,34,44,,1,,,K2 Immobilienverwaltung - Cluster 83.123 - (N1) - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
K2 Immobilienverwaltung,Cluster 02,,10825,Martin-Luther-Straße 123,14,14,,1,,,K2 Immobilienverwaltung - CLUSTER 02 - 14 (S1) - WEG - verloren,Cluster 02,Tempelhof-Schöneberg,Schöneberg
K2S Immobilien GmbH,V_Polygon 76.1,,10115,Schönholzer Straße 1,16,16,,2,,2,K2S Immobilien GmbH - V_Polygon 76.1 - 18 (A1) - verloren,V_Polygon 76.1,Mitte,Mitte
K2S Immobilien GmbH,Cluster 67,,13088,Bizetstraße 113,14,17,,3,,1,K2S Immobilien GmbH - Cluster 67 - 1 (A1) - verloren,Cluster 67,Pankow,Weißensee
K2S Immobilien GmbH,Cluster 67,,13088,Meyerbeerstraße 83,13,12,,0,,,K2S Immobilien GmbH - Cluster 67 - verloren,Cluster 67,Pankow,Weißensee
Kalinowsky Hausverwaltungen Grundstücksverwaltung,V_Polygon 76.1,,10435,Arkonaplatz 10,12,12,12,1,0,1,Kalinowsky Hausverwaltungen Grundstücksverwaltung - V_Polygon 76.1 - 12 (A1) - verloren,V_Polygon 76.1,Mitte,Mitte
Kalinowsky Hausverwaltungen Grundstücksverwaltung,V_Polygon 139.3,,12059,Roseggerstraße 37,11,10,,0,,,Kalinowsky Hausverwaltungen Grundstücksverwaltung  - V_Polygon 139.2 (S1) - verloren,V_Polygon 139.3,Neukölln,Neukölln
Kalinowsky Hausverwaltungen Grundstücksverwaltung,V_Polygon 139.3,,12059,Roseggerstraße 36,19,14,,0,,1,Kalinowsky Hausverwaltungen Grundstücksverwaltung  - V_Polygon 139.2 (S1) - verloren,V_Polygon 139.3,Neukölln,Neukölln
Kalinowsky Hausverwaltungen Grundstücksverwaltung,V_Polygon 139.3,,12059,Weserstraße 79,17,16,,1,,1,Kalinowsky Hausverwaltungen Grundstücksverwaltung  - V_Polygon 139.2 (S1) - verloren,V_Polygon 139.3,Neukölln,Neukölln
KaMa Immobilien GbR,V_Polygon 24.1,,10785,Derfflingerstraße 18,3,4,,3,,,KaMa Immobilien GbR - V_Polygon 24.1 (A1) - verloren,V_Polygon 24.1,Mitte,Tiergarten
Karina Stoppenbrink Immobilienberatung- und verwaltung,V_Polygon 79.1,,13347,Gerichtstraße 25,19,19,,1,,,Karina Stoppenbrink Immobilienberatung- und verwaltung - V_Polygon 79.1 - 19 (A1) - verloren,V_Polygon 79.1,Mitte,Gesundbrunnen
Karina Stoppenbrink Immobilienberatung- und verwaltung,V_Polygon 139.3,,12043,Berthelsdorfer Straße 10,37,39,,2,,2,Karina Stoppenbrink Immobilienberatung- und verwaltung - V_POLYGON 139.3 - 41 (S1) - verloren,V_Polygon 139.3,Neukölln,Neukölln
Karl H. Pepper Vermögensverwaltung GmbH,Cluster 83,,10625,Schillerstraße 4,,,11,,10,,Karl H. Pepper Vermögensverwaltung GmbH - Cluster 83 - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
Karl H. Pepper Vermögensverwaltung GmbH,Cluster 83,,10587,Ernst-Reuter-Platz 8,0,,0,12,10,,Karl H. Pepper Vermögensverwaltung GmbH - Cluster 83 - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
Karl H. Pepper Vermögensverwaltung GmbH,Cluster 83,,10587,Ernst-Reuter-Platz 9,0,,0,2,1,,Karl H. Pepper Vermögensverwaltung GmbH - Cluster 83 - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
Karl H. Pepper Vermögensverwaltung GmbH,Cluster 83,,10587,Ernst-Reuter-Platz 10,0,,0,42,12,,Karl H. Pepper Vermögensverwaltung GmbH - Cluster 83 - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
Karl H. Pepper Vermögensverwaltung GmbH,Cluster 83,,10587,Fraunhoferstraße 36,0,,0,0,1,,Karl H. Pepper Vermögensverwaltung GmbH - Cluster 83 - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
Karl H. Pepper Vermögensverwaltung GmbH,Cluster 83,,10587,Fraunhoferstraße 35,0,,,0,,,Karl H. Pepper Vermögensverwaltung GmbH - Cluster 83 - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
Karl H. Pepper Vermögensverwaltung GmbH,Cluster 83,,10587,Fraunhoferstraße 34,0,,,0,,,Karl H. Pepper Vermögensverwaltung GmbH - Cluster 83 - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
Karl H. Pepper Vermögensverwaltung GmbH,Cluster 83,,10587,Fraunhoferstraße 33,11,,0,2,1,,Karl H. Pepper Vermögensverwaltung GmbH - Cluster 83 - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
Karlheinz F. R. Fischer Immobilienverwaltung,V_Polygon 79.1,,10115,Pflugstraße 7,26,26,,1,,,Karlheinz F. R. Fischer Immobilienverwaltung - V_Polygon 79.1 - 26 (A1) - verloren,V_Polygon 79.1,Mitte,Mitte
Karl-Heinz Kaiser Immobilienmakler,Cluster 21,,14199,Friedrichshaller Straße 16A,0,10,9,0,,,Karl-Heinz Kaiser Immobilienmakler - Cluster 21 - verloren,Cluster 21,Charlottenburg-Wilmersdorf,Schmargendorf
Karl-Heinz Kaiser Immobilienmakler,Cluster 01,,10777,Gossowstraße 10,19,20,20,1,,,Karl-Heinz Kaiser Immobilienmakler - Cluster 01 - verloren,Cluster 01,Tempelhof-Schöneberg,Schöneberg
Kath. Kirchengemeinde St. Matthias Schöneberg,V_Polygon 2.4,ABZ III,10781,Kyffhäuserstraße 2,17,19,,0,,,KATH. KIRCHENGEMEINDE ST. MATTHIAS SCHÖNEBERG - CLUSTER 02 - 19 (S1) - verloren,V_Polygon 2.4,Tempelhof-Schöneberg,Schöneberg
Kathrin Marquardt Immobilienverwaltung,Cluster 67,,13088,Meyerbeerstraße 70,13,20,,1,,,Kathrin Marquardt Immobilienverwaltung - Cluster 67 (A1) - verloren,Cluster 67,Pankow,Weißensee
Katrin Werres Hausverwaltung,Polygon 6.0,,10627,Fritschestraße 42,15,12,10,5,2,,Katrin Werres Hausverwaltung - V_Polygon 6.1 (A1) - verloren,Polygon 6.0,Charlottenburg-Wilmersdorf,Charlottenburg
Kellerer Immobilien GmbH,Cluster 03,ABZ III,10707,Bayerische Straße 19,10,10,10,1,1,1,Kellerer Immobilien GmbH - Cluster 03 (N1) - verloren,Cluster 03,Charlottenburg-Wilmersdorf,Wilmersdorf
Kellerer Immobilien GmbH,Cluster 03,ABZ III,10707,Pommersche Straße 14A,11,11,11,0,0,0,Kellerer Immobilien GmbH - Cluster 03 (N1) - verloren,Cluster 03,Charlottenburg-Wilmersdorf,Wilmersdorf
Kellerer Immobilien GmbH,Cluster 03,ABZ III,10707,Pommersche Straße 14,14,12,12,0,0,0,Kellerer Immobilien GmbH - Cluster 03 (N1) - verloren,Cluster 03,Charlottenburg-Wilmersdorf,Wilmersdorf
Kerstin Zöllner WiP Hausverwaltung,Cluster 03,ABZ III,10707,Kurfürstendamm 176,10,,3,1,5,,Kerstin Zöllner WiP Hausverwaltung - Cluster 0003 - 16 (S1) - verloren,Cluster 03,Charlottenburg-Wilmersdorf,Wilmersdorf
Kerstin Zöllner WiP Hausverwaltung,Cluster 03,ABZ III,10707,Kurfürstendamm 175,0,,3,21,5,,Kerstin Zöllner WiP Hausverwaltung - Cluster 0003 - 16 (S1) - verloren,Cluster 03,Charlottenburg-Wilmersdorf,Wilmersdorf
kfh Immobilien Management GmbH,Cluster 67,,10369,Alfred-Jung-Straße 14,3,1,1,0,0,0,kfh Immobilien Management GmbH - Cluster 67 - 2 (A1) - verloren,Cluster 67,Lichtenberg,Fennpfuhl
kfh Immobilien Management GmbH,Cluster 67,,10369,Alfred-Jung-Straße 12,2,1,1,1,0,0,kfh Immobilien Management GmbH - Cluster 67 - 2 (A1) - verloren,Cluster 67,Lichtenberg,Fennpfuhl
KI-FA Immobilien GmbH,V_Polygon 32.2,,10247,Silvio-Meier-Straße 13,14,20,20,2,2,2,KI-FA IMMOBILIEN GMBH - V_Polygon 32.2 - 20 - verloren,V_Polygon 32.2,Friedrichshain-Kreuzberg,Friedrichshain
Kim Eggert & Eckard Kanold GbR,V_Polygon 80.1-2 (Ausdehnung),,10551,Oldenburger Straße 33,39,45,,2,,,Kim Eggert & Eckard Kanold GbR - V_Polygon 80.2 (A1) - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
Kirchner & Freund Verwaltung von Grundbesitz,V_Polygon 139.1-5 (Ausdehnung),,12043,Karl-Marx-Platz 12,28,,33,5,4,,Kirchner & Freund Verwaltung von Grundbesitz - V_Polygon 139.3 - 37 (A1) - verloren,V_Polygon 139.1-5 (Ausdehnung),Neukölln,Neukölln
Kirchner & Freund Verwaltung von Grundbesitz,Cluster 05,ABZ III,10717,Gasteiner Straße 29,5,,5,3,3,,Kirchner & Freund Verwaltung von Grundbesitz - Cluster 05 (N1) - verloren,Cluster 05,Charlottenburg-Wilmersdorf,Wilmersdorf
Klaus Hirsch und Dr. Bernhard Haaß Immobilienverwaltung,V_Polygon 32.3,,10243,Revaler Straße 102,19,16,,1,,1,Klaus Hirsch und Dr. Bernhard Haaß Immobilienverwaltung - V_Polygon 32.1 (A1) - verloren,V_Polygon 32.3,Friedrichshain-Kreuzberg,Friedrichshain
Klaus Hirsch und Dr. Bernhard Haaß Immobilienverwaltung,V_Polygon 32.3,,10243,Marchlewskistraße 107,14,16,,0,,2,Klaus Hirsch und Dr. Bernhard Haaß Immobilienverwaltung - V_Polygon 32.1 (A1) - verloren,V_Polygon 32.3,Friedrichshain-Kreuzberg,Friedrichshain
Kleindienst Günter Hausverwaltung,V_Polygon 80.1-2 (Ausdehnung),,10559,Dreysestraße 9,11,16,14,0,0,,Kleindienst Günter Hausverwaltung - V_Polygon 80.1 - 14 (A1) - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
Kleiß Hausverwaltung GmbH,Polygon 6.0,,10627,Fritschestraße 60A,13,11,11,1,1,1,ALBRECHT KLEIß HAUSVERWALTUNG - V_Polygon 6.1 - verloren,Polygon 6.0,Charlottenburg-Wilmersdorf,Charlottenburg
Kleiß Hausverwaltung GmbH,Polygon 6.0,,10627,Fritschestraße 60,16,11,11,3,3,3,ALBRECHT KLEIß HAUSVERWALTUNG - V_Polygon 6.1 - verloren,Polygon 6.0,Charlottenburg-Wilmersdorf,Charlottenburg
Klingsöhr Grundstücksverwaltungsgesellschaft mbH,V_Polygon 139.3,,12043,Ganghoferstraße 2,6,4,0,2,0,2,KLINGSÖHR GRUNDSTÜCKSVERWALTUNGSGESELLSCHAFT MBH - V_POLYGON 139.3 - 6 (S1) - verloren,V_Polygon 139.3,Neukölln,Neukölln
Klingsöhr Grundstücksverwaltungsgesellschaft mbH,Polygon 6.0,,14057,Friedbergstraße 25,28,24,0,1,0,,Klingsöhr Grundstücksverwaltungsgesellschaft mbH - V_Polygon 6.2 - 24 (S1) - verloren,Polygon 6.0,Charlottenburg-Wilmersdorf,Charlottenburg
Kostorz Hausverwaltung GmbH,V_Polygon 80.1,,10559,Quitzowstraße 121,19,24,,2,,,Kostorz Hausverwaltung GmbH - V_Polygon 80.1 (A1) - verloren,V_Polygon 80.1,Mitte,Moabit
KROKO Management Immobilienverwaltung,V_Polygon 32.2,,10247,Rigaer Straße 74,22,,30,3,,,KROKO Management Immobilienverwaltung - V_Polygon 32.2 (S1) - verloren,V_Polygon 32.2,Friedrichshain-Kreuzberg,Friedrichshain
KROKO Management Immobilienverwaltung,Cluster 22,,12159,Isoldestraße 2,4,,6,2,,,KROKO Management Immobilienverwaltung - Cluster 22 (A1) - verloren,Cluster 22,Tempelhof-Schöneberg,Friedenau
Kunsthaus - Immobilienverwaltung,Cluster 22,,12159,Niedstraße 36,11,10,,0,,,Kunsthaus - Immobilienverwaltung - Cluster 22 - 10 (A1) - verloren,Cluster 22,Tempelhof-Schöneberg,Friedenau
Kupsch & Kupsch Immobilien- und Grundstücks GmbH,Cluster 22,,12161,Rheingaustraße 14,6,4,,3,,7,Kupsch & Kupsch Immobilien- und Grundstücks GmbH - Cluster 22 - 11 (A1) - verloren,Cluster 22,Tempelhof-Schöneberg,Friedenau
Kutzke & Papstein Grundstücks- und Vermögensverwaltung GmbH,Cluster 03,ABZ III,10629,Leibnizstraße 60,16,,15,18,0,,Kutzke & Papstein Grundstücks- und Vermögensverwaltung GmbH - Cluster 03 (N1) - verloren,Cluster 03,Charlottenburg-Wilmersdorf,Charlottenburg
Lemke & Schick GbR,V_Polygon 80.1,,10559,Stephanstraße 4,18,,26,0,0,,Lemke & Schick GbR - V_Polygon 80.1 - 26 (A1) - verloren,V_Polygon 80.1,Mitte,Moabit
Lemke & Schick GbR,V_Polygon 6.1-3 (Ausdehnung),,14057,Leonhardtstraße 16,28,,31,0,0,,Lemke & Schick GbR - V_Polygon 6.2 - 31 (A1) - verloren,V_Polygon 6.1-3 (Ausdehnung),Charlottenburg-Wilmersdorf,Charlottenburg
Lemke & Schick GbR,V_Polygon 22.4,ABZ IV,12159,Wielandstraße 37,12,16,14,1,0,,Lemke & Schick GbR - Cluster 22 - 16 (A1) - verloren,V_Polygon 22.4,Tempelhof-Schöneberg,Schöneberg
Lemke & Schick GbR,V_Polygon 2.4,ABZ III,10825,Innsbrucker Straße 48A,12,10,,0,,,LEMKE & SCHICK GBR - CLUSTER 02 - 10 (S1) - verloren,V_Polygon 2.4,Tempelhof-Schöneberg,Schöneberg
Lemke & Schick GbR,V_Polygon 2.4,ABZ III,10825,Innsbrucker Straße 49A,9,10,,0,,,LEMKE & SCHICK GBR - CLUSTER 02 - 10 (S1) - verloren,V_Polygon 2.4,Tempelhof-Schöneberg,Schöneberg
Lemke & Schick GbR,Cluster 83,ABZ III,10585,Gierkeplatz 6,17,12,23,0,0,,Lemke & Schick GbR - Cluster 83 - 23 - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
Lemke & Schick GbR,Cluster 03,ABZ III,10719,Pariser Straße 6,36,,40,12,0,,Lemke & Schick GbR - Cluster 03 - 40 - verloren,Cluster 03,Charlottenburg-Wilmersdorf,Wilmersdorf
Lemke & Schick GbR,Cluster 02,,10781,Goltzstraße 47,11,10,,0,,,LEMKE & SCHICK GBR - CLUSTER 02 - 10 (S1) - verloren,Cluster 02,Tempelhof-Schöneberg,Schöneberg
Lichterfelder HVI GmbH,Cluster 64,,12161,Büsingstraße 19A,3,33,,0,,,Lichterfelder HVI GmbH - Cluster 64 - 25 (A1) - verloren,Cluster 64,Tempelhof-Schöneberg,Friedenau
Lichterfelder HVI GmbH,Cluster 64,,12161,Büsingstraße 19,16,25,25,2,0,0,Lichterfelder HVI GmbH - Cluster 64 - 25 (A1) - verloren,Cluster 64,Tempelhof-Schöneberg,Friedenau
Lipsia Hausverwaltung GmbH,V_Polygon 80.1,,10559,Perleberger Straße 52,25,24,,0,,,Lipsia Hausverwaltung GmbH - V_Polygon 80.1 (A1) - verloren,V_Polygon 80.1,Mitte,Moabit
Livus - Micro Living,V_Polygon 139.1-5 (Ausdehnung),,12053,Ilsenhof 16,0,32,31,0,0,,Livus - Micro Living - V_Polygon 139.5 - verloren,V_Polygon 139.1-5 (Ausdehnung),Neukölln,Neukölln
Lobert Immobilienverwaltungs- und -vermittlungsges. mbH,V_Polygon 139.1-5 (Ausdehnung),,12045,Weserstraße 157,25,,38,1,3,,Lobert Immobilienverwaltungs- und -vermittlungsges. mbH - V_Polygon 139.2 - 41 (A1) - verloren,V_Polygon 139.1-5 (Ausdehnung),Neukölln,Neukölln
Lodersleben Verwaltungs GmbH,V_Polygon 80.2,,10551,Bredowstraße 37,14,19,,0,,,Lodersleben Verwaltungs GmbH - V_Polygon 80.2 (A1) - verloren,V_Polygon 80.2,Mitte,Moabit
Lohner & Götz GmbH,Cluster 03,,10707,Wittelsbacherstraße 17A,,32,32,,0,0,LOHNER & GÖTZ GMBH - 0003 - 32 - verloren,Cluster 03,Charlottenburg-Wilmersdorf,Wilmersdorf
Luisenstadt eG,V_Polygon 32.2,,10247,Rigaer Straße 77,25,30,,1,,2,LUISENSTADT EG - V_Polygon 32.2 - 30 (S1) - verloren,V_Polygon 32.2,Friedrichshain-Kreuzberg,Friedrichshain
Luisenstadt eG,V_Polygon 32.2,,10247,Rigaer Straße 78,35,24,,2,,2,LUISENSTADT EG - V_Polygon 32.2 - 58 (S1) - verloren,V_Polygon 32.2,Friedrichshain-Kreuzberg,Friedrichshain
LuTH Immobilien GmbH,Cluster 64,,12161,Stubenrauchstraße 70,11,12,,3,,3,LuTH Immobilien GmbH - Cluster 64 - verloren,Cluster 64,Tempelhof-Schöneberg,Friedenau
LuTH Immobilien GmbH,Cluster 64,,12161,Odenwaldstraße 27,6,9,,2,,1,LuTH Immobilien GmbH - Cluster 64 - verloren,Cluster 64,Tempelhof-Schöneberg,Friedenau
M&M Real Estate Mark Dimant Immobilien,Cluster 01,,10789,Nürnberger Straße 31,12,14,,0,,2,M&M Real Estate Mark Dimant Immobilien - Cluster 01 - verloren,Cluster 01,Charlottenburg-Wilmersdorf,Wilmersdorf
M&M Real Estate Mark Dimant Immobilien,Cluster 01,,10789,Nürnberger Straße 32,18,21,,4,,2,M&M Real Estate Mark Dimant Immobilien - Cluster 01 - verloren,Cluster 01,Charlottenburg-Wilmersdorf,Wilmersdorf
Mahlke Vermögensverwaltungs GmbH,Cluster 83,ABZ III,10625,Kantstraße 31,0,9,9,10,8,8,Mahlke Vermögensverwaltungs GmbH - Cluster 83 - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
Mahlo Bau Verwaltungsgesellschaft mbH,V_Polygon 32.3,,10243,Gubener Straße 36,21,26,24,2,2,1,Mahlo Bau Verwaltungsgesellschaft mbH - V_Polygon 32.1 (A1) - verloren,V_Polygon 32.3,Friedrichshain-Kreuzberg,Friedrichshain
MAISON IMMOBILIEN GMBH,V_Polygon 91.2,,13353,Genter Straße 4,32,32,32,1,1,1,MAISON IMMOBILIEN GMBH - V_Polygon 91.2 - verloren,V_Polygon 91.2,Mitte,Wedding
MAISON IMMOBILIEN GMBH,V_Polygon 80.2,,10551,Oldenburger Straße 14,8,10,10,1,1,1,MAISON IMMOBILIEN GMBH - V_Polygon 80.2 - 50 - verloren,V_Polygon 80.2,Mitte,Moabit
MAISON IMMOBILIEN GMBH,V_Polygon 80.1-2 (Ausdehnung),,10551,Oldenburger Straße 23,30,37,37,2,2,2,MAISON IMMOBILIEN GMBH - V_Polygon 80.2 - 50 - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
MAISON IMMOBILIEN GMBH,V_Polygon 80.1-2 (Ausdehnung),,10557,Kirchstraße 25,20,20,,7,,,MAISON IMMOBILIEN GMBH - V_Polygon 80.1 (A1) - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
MAISON IMMOBILIEN GMBH,V_Polygon 80.1-2 (Ausdehnung),,10559,Alt-Moabit 108A,9,5,,3,,,MAISON IMMOBILIEN GMBH - V_Polygon 80.1 (A1) - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
MAISON IMMOBILIEN GMBH,V_Polygon 80.1-2 (Ausdehnung),,10559,Alt-Moabit 108,9,8,42,0,0,,MAISON IMMOBILIEN GMBH - V_Polygon 80.1 (A1) - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
MAISON IMMOBILIEN GMBH,V_Polygon 32.2,,10247,Rigaer Straße 104,0,25,25,0,2,2,MAISON IMMOBILIEN GMBH - V_Polygon 32.2 - verloren,V_Polygon 32.2,Friedrichshain-Kreuzberg,Friedrichshain
MAISON IMMOBILIEN GMBH,V_Polygon 2.4,ABZ III,10825,Wartburgstraße 19,13,19,19,7,7,7,MAISON IMMOBILIEN GMBH - Cluster 02 - 26 - verloren,V_Polygon 2.4,Tempelhof-Schöneberg,Schöneberg
